Roll no,Division,Tutorial,Lab,Location
240103035,I,T10,L3,
240103036,I,T10,L3,
240103037,I,T10,L3,
240103038,I,T10,L3,
240103039,I,T10,L3,
240104035,I,T10,L3,
240104036,I,T10,L3,
240104037,I,T10,L3,
240104038,I,T10,L3,
240104039,I,T10,L3,
240106035,II,T10,L3,
240106036,II,T10,L3,
240106037,II,T10,L3,
240106038,II,T10,L3,
240106039,II,T10,L3,
240107035,IV,T10,L8,
240107036,IV,T10,L8,
240107037,IV,T10,L8,
240107038,IV,T10,L8,
240121035,III,T10,L8,
240121036,III,T10,L8,
240121037,III,T10,L8,
240121038,III,T10,L8,
240122035,IV,T10,L8,
240122036,IV,T10,L8,
240122037,IV,T10,L8,
240122038,IV,T10,L8,
240123035,III,T10,L8,
240123036,III,T10,L8,
240123037,III,T10,L8,
240123038,III,T10,L8,
240150035,IV,T10,L8,
240150036,IV,T10,L8,
240150037,IV,T10,L8,
240150038,IV,T10,L8,
240101040,III,T11,L8,
240101041,III,T11,L8,
240101042,III,T11,L8,
240101043,III,T11,L8,
240101044,III,T11,L9,
240102040,II,T11,L3,
240102041,II,T11,L3,
240102042,II,T11,L3,
240102043,II,T11,L3,
240102044,II,T11,L3,
240102239,II,T11,L3,
240102240,II,T11,L3,
240102241,II,T11,L3,
240102242,II,T11,L3,
240102243,II,T11,L3,
240103040,I,T11,L3,
240103041,I,T11,L3,
240103042,I,T11,L3,
240103043,I,T11,L3,
240104040,I,T11,L3,
240104041,I,T11,L3,
240104042,I,T11,L3,
240104043,I,T11,L3,
240106040,II,T11,L3,
240106041,II,T11,L3,
240106042,II,T11,L3,
240106043,II,T11,L3,
240107039,IV,T11,L8,
240107040,IV,T11,L8,
240107041,IV,T11,L8,
240107042,IV,T11,L8,
240107043,IV,T11,L8,
240121039,III,T11,L8,
240121040,III,T11,L8,
240121041,III,T11,L8,
240121042,III,T11,L8,
240121043,III,T11,L9,
240122039,IV,T11,L8,
240122040,IV,T11,L8,
240122041,IV,T11,L8,
240122042,IV,T11,L8,
240122043,IV,T11,L9,
240123039,III,T11,L8,
240123040,III,T11,L8,
240123041,III,T11,L8,
240123042,III,T11,L8,
240123043,III,T11,L9,
240150039,IV,T11,L8,
240150040,IV,T11,L8,
240101045,III,T12,L9,
240101046,III,T12,L9,
240101047,III,T12,L9,
240101048,III,T12,L9,
240101049,III,T12,L9,
240102045,II,T12,L3,
240102046,II,T12,L3,
240102047,II,T12,L3,
240102048,II,T12,L3,
240102049,II,T12,L3,
240102244,II,T12,L3,
240102245,II,T12,L3,
240102246,II,T12,L3,
240102247,II,T12,L3,
240102248,II,T12,L3,
240103044,I,T12,L3,
240103045,I,T12,L3,
240103046,I,T12,L3,
240103047,I,T12,L3,
240103048,I,T12,L3,
240104044,I,T12,L3,
240104045,I,T12,L3,
240104046,I,T12,L3,
240104047,I,T12,L3,
240104048,I,T12,L3,
240106044,II,T12,L3,
240106045,II,T12,L3,
240106046,II,T12,L3,
240106047,II,T12,L3,
240106048,II,T12,L3,
240107044,IV,T12,L9,
240107045,IV,T12,L9,
240107046,IV,T12,L9,
240107047,IV,T12,L9,
240107048,IV,T12,L9,
240121044,III,T12,L9,
240121045,III,T12,L9,
240121046,III,T12,L9,
240121047,III,T12,L9,
240121048,III,T12,L9,
240122044,IV,T12,L9,
240122045,IV,T12,L9,
240122046,IV,T12,L9,
240122047,IV,T12,L9,
240122048,IV,T12,L9,
240123044,III,T12,L9,
240123046,III,T12,L9,
240123047,III,T12,L9,
240123048,III,T12,L9,
240101050,III,T13,L9,
240101051,III,T13,L9,
240101052,III,T13,L9,
240101053,III,T13,L9,
240101054,III,T13,L9,
240102050,II,T13,L3,
240102051,II,T13,L3,
240102052,II,T13,L4,
240102053,II,T13,L4,
240102054,II,T13,L4,
240102249,II,T13,L4,
240102251,II,T13,L4,
240102252,II,T13,L4,
240102253,II,T13,L4,
240103049,I,T13,L4,
240103050,I,T13,L4,
240103052,I,T13,L4,
240103053,I,T13,L4,
240103054,I,T13,L4,
240104049,I,T13,L4,
240104050,I,T13,L4,
240104051,I,T13,L4,
240104052,I,T13,L4,
240104053,I,T13,L4,
240106049,II,T13,L4,
240106050,II,T13,L4,
240106051,II,T13,L4,
240106052,II,T13,L4,
240106053,II,T13,L4,
240107049,IV,T13,L9,
240107050,IV,T13,L9,
240107051,IV,T13,L9,
240107052,IV,T13,L9,
240107053,IV,T13,L9,
240121049,III,T13,L9,
240121050,III,T13,L9,
240121051,III,T13,L9,
240121052,III,T13,L9,
240121053,III,T13,L9,
240122049,IV,T13,L9,
240122050,IV,T13,L9,
240122051,IV,T13,L9,
240122052,IV,T13,L9,
240122053,IV,T13,L9,
240123049,III,T13,L9,
240123050,III,T13,L9,
240123051,III,T13,L9,
240123052,III,T13,L9,
240123053,III,T13,L9,
240101055,III,T14,L9,
240101056,III,T14,L9,
240101057,III,T14,L9,
240101058,III,T14,L9,
240101059,III,T14,L9,
240102055,II,T14,L4,
240102056,II,T14,L4,
240102057,II,T14,L4,
240102058,II,T14,L4,
240102059,II,T14,L4,
240102254,II,T14,L4,
240102255,II,T14,L4,
240102256,II,T14,L4,
240102257,II,T14,L4,
240102258,II,T14,L4,
240103055,I,T14,L4,
240103056,I,T14,L4,
240103057,I,T14,L4,
240103058,I,T14,L4,
240104054,I,T14,L4,
240104055,I,T14,L4,
240104056,I,T14,L4,
240104057,I,T14,L4,
240104058,I,T14,L4,
240106054,II,T14,L4,
240106055,II,T14,L4,
240106056,II,T14,L4,
240106057,II,T14,L4,
240106058,II,T14,L4,
240107054,IV,T14,L9,
240107055,IV,T14,L9,
240107056,IV,T14,L9,
240107057,IV,T14,L9,
240107058,IV,T14,L9,
240121054,III,T14,L9,
240121055,III,T14,L9,
240121056,III,T14,L9,
240121057,III,T14,L9,
240121058,III,T14,L9,
240122054,IV,T14,L9,
240122055,IV,T14,L9,
240122056,IV,T14,L9,
240122057,IV,T14,L9,
240122058,IV,T14,L9,
240123054,III,T14,L9,
240123055,III,T14,L9,
240123056,III,T14,L9,
240123057,III,T14,L9,
240123058,III,T14,L9,
240101060,III,T15,L9,
240101061,III,T15,L10,
240101062,III,T15,L10,
240101063,III,T15,L10,
240101064,III,T15,L10,
240102060,II,T15,L4,
240102061,II,T15,L4,
240102062,II,T15,L4
240102063,II,T15,L4,
240102064,II,T15,L4,
240102259,II,T15,L4,
240102260,II,T15,L4,
240102261,II,T15,L4,
240103059,I,T15,L4,
240103060,I,T15,L4,
240103061,I,T15,L4,
240103062,I,T15,L4,
240103063,I,T15,L4,
240103064,I,T15,L4,
240104059,I,T15,L4,
240104060,I,T15,L4,
240104061,I,T15,L4,
240104062,I,T15,L4,
240104063,I,T15,L4,
240106059,II,T15,L4,
240106060,II,T15,L4,
240106061,II,T15,L4,
240106062,II,T15,L4,
240106063,II,T15,L4,
240107059,IV,T15,L9,
240107060,IV,T15,L9,
240107061,IV,T15,L10,
240107062,IV,T15,L10,
240107063,IV,T15,L10,
240121059,III,T15,L9,
240121060,III,T15,L9,
240121061,III,T15,L10,
240121062,III,T15,L10,
240121063,III,T15,L10,
240122059,IV,T15,L9,
240122060,IV,T15,L9,
240122061,IV,T15,L10,
240122062,IV,T15,L10,
240122063,IV,T15,L10,
240123059,III,T15,L9,
240123060,III,T15,L9,
240123061,III,T15,L10,
240123062,III,T15,L10,
240123063,III,T15,L10,
240101065,III,T16,L10,
240101066,III,T16,L10,
240101067,III,T16,L10,
240101068,III,T16,L10,
240101069,III,T16,L10,
240101070,III,T16,L10,
240102065,II,T16,L4,
240102066,II,T16,L4,
240102067,II,T16,L4,
240102068,II,T16,L4,
240102069,II,T16,L4,
240102070,II,T16,L4,
240103065,I,T16,L4,
240103066,I,T16,L4,
240103067,I,T16,L4,
240103068,I,T16,L4,
240103069,I,T16,L4,
240104064,I,T16,L4,
240104065,I,T16,L4,
240104066,I,T16,L4,
240104067,I,T16,L4,
240104068,I,T16,L4,
240104069,I,T16,L4,
240106064,II,T16,L4,
240106065,II,T16,L4,
240106066,II,T16,L4,
240106067,II,T16,L4,
240106068,II,T16,L4,
240106069,II,T16,L4,
240107064,IV,T16,L10,
240107065,IV,T16,L10,
240107066,IV,T16,L10,
240107067,IV,T16,L10,
240107068,IV,T16,L10,
240107069,IV,T16,L10,
240121064,III,T16,L10,
240121065,III,T16,L10,
240121066,III,T16,L10,
240121067,III,T16,L10,
240121068,III,T16,L10,
240122064,IV,T16,L10,
240122065,IV,T16,L10,
240122066,IV,T16,L10,
240123064,III,T16,L10,
240123065,III,T16,L10,
240123066,III,T16,L10,
240123067,III,T16,L10,
240123068,III,T16,L10,
240123069,III,T16,L10,
240101071,III,T17,L10,
240101072,III,T17,L10,
240101073,III,T17,L10,
240101074,III,T17,L10,
240101075,III,T17,L10,
240101076,III,T17,L10,
240101077,III,T17,L10,
240101078,III,T17,L10,
240102071,II,T17,L4,
240102072,II,T17,L4,
240102073,II,T17,L4,
240102074,II,T17,L4,
240102075,II,T17,L4,
240102076,II,T17,L4,
240102077,II,T17,L4,
240103070,I,T17,L5,
240103071,I,T17,L5,
240103072,I,T17,L5,
240103073,I,T17,L5,
240103074,I,T17,L5,
240103075,I,T17,L5,
240103076,I,T17,L5,
240103077,I,T17,L5,
240104070,I,T17,L5,
240104071,I,T17,L5,
240104072,I,T17,L5,
240104073,I,T17,L5,
240104074,I,T17,L5,
240104075,I,T17,L5,
240104076,I,T17,L5,
240104077,I,T17,L5,
240106070,II,T17,L5,
240106071,II,T17,L5,
240106072,II,T17,L5,
240106073,II,T17,L5,
240106074,II,T17,L5,
240106075,II,T17,L5,
240106076,II,T17,L5,
240106077,II,T17,L5,
240107070,IV,T17,L10,
240107071,IV,T17,L10,
240107072,IV,T17,L10,
240107073,IV,T17,L10,
240107074,IV,T17,L10,
240107075,IV,T17,L10,
240107076,IV,T17,L10,
240107077,IV,T17,L10,
240123070,III,T17,L10,
240123071,III,T17,L10,
240101079,III,T18,L10,
240101080,III,T18,L10,
240101081,III,T18,L10,
240101082,III,T18,L10,
240101083,III,T18,L10,
240101084,III,T18,L10,
240101085,III,T18,L10,
240101086,III,T18,L10,
240102078,II,T18,L5,
240102079,II,T18,L5,
240102080,II,T18,L5,
240102081,II,T18,L5,
240102082,II,T18,L5,
240102083,II,T18,L5,
240102084,II,T18,L5,
240102085,II,T18,L5,
240102086,II,T18,L5,
240103078,I,T18,L5,
240103079,I,T18,L5,
240103080,I,T18,L5,
240103081,I,T18,L5,
240103082,I,T18,L5
240103083,I,T18,L5,
240103084,I,T18,L5,
240103085,I,T18,L5,
240103086,I,T18,L5,
240104078,I,T18,L5,
240104079,I,T18,L5,
240104080,I,T18,L5,
240104081,I,T18,L5,
240104082,I,T18,L5,
240104083,I,T18,L5,
240104084,I,T18,L5,
240104085,I,T18,L5,
240106078,II,T18,L5,
240106079,II,T18,L5,
240106080,II,T18,L5,
240106081,II,T18,L5,
240106082,II,T18,L5,
240106083,II,T18,L5,
240106084,II,T18,L5,
240107078,IV,T18,L10,
240107079,IV,T18,L10,
240107080,IV,T18,L10,
240107081,IV,T18,L10,
240107082,IV,T18,L10,
240107083,IV,T18,L10,
240107084,IV,T18,L10,
240107085,IV,T18,L10,
240101087,III,T19,L10,
240101088,III,T19,L10,
240101089,III,T19,L10,
240101090,III,T19,L10,
240101091,III,T19,L10,
240101092,III,T19,L10,
240101093,III,T19,L10,
240101094,III,T19,L10,
240101095,III,T19,L10,
240101096,III,T19,L10,
240102087,II,T19,L5,
240102088,II,T19,L5,
240102089,II,T19,L5,
240102090,II,T19,L5,
240102091,II,T19,L5,
240102092,II,T19,L5,
240102093,II,T19,L5,
240102094,II,T19,L5,
240102095,II,T19,L5,
240102096,II,T19,L5,
240103087,I,T19,L5,
240103088,I,T19,L5,
240103089,I,T19,L5,
240103090,I,T19,L5,
240103091,I,T19,L5,
240103092,I,T19,L5,
240103093,I,T19,L5,
240103094,I,T19,L5,
240103095,I,T19,L5,
240104086,I,T19,L5,
240104087,I,T19,L5,
240104088,I,T19,L5,
240104089,I,T19,L5,
240104090,I,T19,L5,
240104091,I,T19,L5,
240104092,I,T19,L5,
240104093,I,T19,L5,
240104094,I,T19,L5,
240104095,I,T19,L5,
240107086,IV,T19,L10,
240107087,IV,T19,L10,
240107088,IV,T19,L10,
240107089,IV,T19,L10,
240107090,IV,T19,L10,
240107091,IV,T19,L10,
240107092,IV,T19,L10,
240107093,IV,T19,L10,
240107094,IV,T19,L10,
240107095,IV,T19,L10,
240101003,III,T20,L6,
240101005,III,T20,L6,
240101026,III,T20,L7,
240101097,III,T20,L10,
240101098,III,T20,L10,
240101099,III,T20,L10,
240101101,III,T20,L6,
240101104,III,T20,L6,
240102019,II,T20,L5,
240102097,II,T20,L5,
240102098,II,T20,L5,
240102099,II,T20,L5,
240102250,II,T20,L5,
240103051,I,T20,L5,
240103096,I,T20,L5,
240103097,I,T20,L5,
240103098,I,T20,L5,
240103099,I,T20,L5,
240104096,I,T20,L5,
240104097,I,T20,L5,
240104098,I,T20,L5,
240104099,I,T20,L5,
240107096,IV,T20,L10,
240107097,IV,T20,L10,
240123045,III,T20,L9,
240205001,IV,T21,L6,
240205002,IV,T21,L6,
240205003,IV,T21,L6,
240205004,IV,T21,L6,
240205005,IV,T21,L6,
240205006,IV,T21,L6,
240205007,IV,T21,L6,
240205008,IV,T21,L6,
240205009,IV,T21,L6,
240205010,IV,T21,L6,
240205011,IV,T21,L6,
240205012,IV,T21,L6,
240205013,IV,T21,L7,
240205014,IV,T21,L7,
240205015,IV,T21,L7,
240205016,IV,T21,L7,
240205017,IV,T21,L7,
240205018,IV,T21,L7,
240205019,IV,T21,L7,
240205020,IV,T21,L7,
240205021,IV,T21,L7,
240205022,IV,T21,L7,
240205023,IV,T21,L7,
240205024,IV,T21,L7,
240205025,IV,T21,L7,
240205026,IV,T21,L7,
240205027,IV,T21,L7,
240205028,IV,T21,L8,
240205029,IV,T21,L8,
240205030,IV,T21,L8,
240205031,IV,T21,L8,
240205032,IV,T21,L8,
240205033,IV,T21,L8,
240205034,IV,T21,L8,
240205035,IV,T21,L8,
240205036,IV,T21,L8,
240205037,IV,T21,L8,
240205038,IV,T21,L8,
240205039,IV,T21,L8,
240205040,IV,T21,L8,
240205041,IV,T21,L8,
240205042,IV,T21,L8,
240205043,IV,T21,L9,
240205044,IV,T21,L9,
240205045,IV,T21,L9,
240205046,IV,T21,L9,
240205047,IV,T21,L9,
240205048,IV,T21,L9,
240205049,IV,T21,L9,
240205050,IV,T21,L9,
240205051,IV,T21,L9,
240205052,IV,T21,L9,
240205053,IV,T21,L9,
240205054,IV,T21,L9,
240205055,IV,T21,L9,
240205056,IV,T21,L9,
240205057,IV,T21,L9,
